,Name,PD Notation,Volume,Crossing Number,Determinant,n_crossings,n_faces,writhe,is_alternating,n_edges,n_nodes,average_degree,std_degrees,density
46,9^2_18,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 8; 3; 7]; [6; 4; 7; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [8; 17; 9; 14]; [16; 9; 17; 10]; [14; 0; 15; 13]],11.38178609,9,31,9,11,5,True,18,11,3.272727272727273,1.1354541815269816,0.32727272727272727
47,9^2_19,[[7; 1; 8; 0]; [1; 9; 2; 8]; [9; 3; 10; 2]; [3; 13; 4; 12]; [13; 5; 14; 4]; [5; 15; 6; 14]; [15; 7; 16; 6]; [17; 10; 12; 11]; [11; 16; 0; 17]],7.45357325,9,31,9,11,5,True,18,11,3.272727272727273,1.7627926754241197,0.32727272727272727
48,9^2_20,[[13; 1; 14; 0]; [1; 6; 2; 7]; [7; 2; 8; 3]; [3; 15; 4; 14]; [15; 5; 16; 4]; [5; 8; 6; 9]; [9; 17; 10; 16]; [17; 11; 12; 10]; [11; 13; 0; 12]],9.124415509,9,31,9,11,3,True,18,11,3.272727272727273,1.4826824027545538,0.32727272727272727
49,9^2_21,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 9; 4; 8]; [9; 5; 10; 4]; [5; 11; 6; 10]; [17; 7; 12; 6]; [7; 13; 8; 12]; [11; 16; 0; 17]],9.814729699,9,31,9,11,1,True,18,11,3.272727272727273,1.28564869306645,0.32727272727272727
50,9^2_22,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 8; 4; 9]; [9; 4; 10; 5]; [5; 12; 6; 13]; [17; 6; 12; 7]; [7; 10; 8; 11]; [11; 16; 0; 17]],10.95665782,9,31,9,11,-9,True,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
51,9^2_23,[[0; 11; 1; 12]; [10; 1; 11; 2]; [2; 17; 3; 10]; [6; 3; 7; 4]; [4; 14; 5; 13]; [12; 6; 13; 5]; [16; 7; 17; 8]; [8; 15; 9; 16]; [14; 9; 15; 0]],9.63438016,9,31,9,11,-5,True,18,11,3.272727272727273,1.4200453956193917,0.32727272727272727
52,9^2_24,[[0; 13; 1; 14]; [10; 1; 11; 2]; [2; 5; 3; 6]; [16; 3; 17; 4]; [4; 17; 5; 12]; [6; 9; 7; 10]; [14; 7; 15; 8]; [8; 15; 9; 16]; [12; 11; 13; 0]],12.04609204,9,31,9,11,-9,True,18,11,3.272727272727273,1.1354541815269816,0.32727272727272727
53,9^2_25,[[13; 1; 14; 0]; [1; 6; 2; 7]; [5; 2; 6; 3]; [3; 11; 4; 10]; [9; 5; 10; 4]; [7; 16; 8; 17]; [15; 8; 16; 9]; [11; 13; 0; 12]; [17; 15; 12; 14]],11.38178609,9,31,9,11,1,True,18,11,3.272727272727273,1.212878551284212,0.32727272727272727
54,9^2_26,[[3; 1; 4; 0]; [1; 15; 2; 14]; [15; 3; 16; 2]; [11; 5; 12; 4]; [5; 9; 6; 8]; [13; 6; 0; 7]; [7; 12; 8; 13]; [9; 17; 10; 16]; [17; 11; 14; 10]],11.76223429,9,31,9,11,5,True,18,11,3.272727272727273,0.9620913858416693,0.32727272727272727
55,9^2_27,[[5; 1; 6; 0]; [1; 5; 2; 4]; [15; 2; 16; 3]; [3; 14; 4; 15]; [11; 7; 12; 6]; [7; 13; 8; 12]; [13; 9; 0; 8]; [9; 17; 10; 16]; [17; 11; 14; 10]],10.24919497,9,31,9,11,5,True,18,11,3.272727272727273,1.28564869306645,0.32727272727272727
56,9^2_28,[[5; 1; 6; 0]; [1; 5; 2; 4]; [15; 2; 16; 3]; [3; 14; 4; 15]; [9; 6; 10; 7]; [7; 12; 8; 13]; [13; 8; 0; 9]; [17; 10; 14; 11]; [11; 16; 12; 17]],10.74025767,9,31,9,11,-5,True,18,11,3.272727272727273,1.2856486930664501,0.32727272727272727
57,9^2_29,[[0; 5; 1; 6]; [6; 1; 7; 2]; [2; 7; 3; 8]; [10; 3; 11; 4]; [4; 11; 5; 12]; [8; 16; 9; 15]; [16; 10; 17; 9]; [12; 14; 13; 17]; [14; 0; 15; 13]],11.29496914,9,31,9,11,-1,True,18,11,3.272727272727273,1.2128785512842122,0.32727272727272727
58,9^2_30,[[9; 1; 10; 0]; [1; 9; 2; 8]; [15; 2; 16; 3]; [3; 14; 4; 15]; [7; 5; 8; 4]; [5; 11; 6; 10]; [11; 7; 12; 6]; [17; 12; 14; 13]; [13; 16; 0; 17]],12.27656278,9,31,9,11,1,True,18,11,3.272727272727273,1.052348809344566,0.32727272727272727
