Name,PD Notation,Crossing Number,Determinant,Volume
9_23,[[2;16;3;15];[4;12;5;11];[6;4;7;3];[8;18;9;17];[10;14;11;13];[12;6;13;5];[14;8;15;7];[16;2;17;1];[18;10;1;9]],9,45,10.61134829
9_24,[[1;13;2;12];[3;7;4;6];[5;1;6;18];[7;14;8;15];[9;16;10;17];[11;3;12;2];[13;10;14;11];[15;8;16;9];[17;5;18;4]],9,45,10.83372911
9_25,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;14;11;13];[12;8;13;7];[14;2;15;1];[16;5;17;6];[18;16;1;15]],9,47,11.39030515
9_26,[[2;10;3;9];[4;11;5;12];[6;17;7;18];[8;15;9;16];[10;14;11;13];[12;3;13;4];[14;2;15;1];[16;5;17;6];[18;7;1;8]],9,47,10.59584052
9_27,[[2;9;3;10];[4;7;5;8];[6;14;7;13];[8;15;9;16];[10;18;11;17];[12;3;13;4];[14;6;15;5];[16;2;17;1];[18;12;1;11]],9,49,10.99998096
9_28,[[1;16;2;17];[3;15;4;14];[5;3;6;2];[7;13;8;12];[9;7;10;6];[11;18;12;1];[13;9;14;8];[15;5;16;4];[17;10;18;11]],9,51,11.56317702
9_29,[[2;10;3;9];[4;17;5;18];[6;12;7;11];[8;4;9;3];[10;15;11;16];[12;6;13;5];[14;1;15;2];[16;7;17;8];[18;13;1;14]],9,51,12.20585617
9_30,[[1;9;2;8];[3;16;4;17];[5;1;6;18];[7;12;8;13];[9;3;10;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]],9,53,11.95452697
9_31,[[1;9;2;8];[3;10;4;11];[5;13;6;12];[7;1;8;18];[9;16;10;17];[11;15;12;14];[13;7;14;6];[15;4;16;5];[17;3;18;2]],9,55,11.68631221
9_32,[[2;8;3;7];[4;9;5;10];[6;13;7;14];[8;16;9;15];[10;5;11;6];[12;17;13;18];[14;3;15;4];[16;2;17;1];[18;11;1;12]],9,59,13.09989985
9_33,[[1;15;2;14];[3;16;4;17];[5;12;6;13];[7;5;8;4];[9;2;10;3];[11;6;12;7];[13;1;14;18];[15;11;16;10];[17;8;18;9]],9,61,13.28045564
9_34,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[14;1;15;2];[16;11;17;12];[18;10;1;9]],9,69,14.34458139
9_35,[[2;12;3;11];[4;16;5;15];[6;14;7;13];[8;18;9;17];[10;4;11;3];[12;2;13;1];[14;6;15;5];[16;10;17;9];[18;8;1;7]],9,27,7.940579248
9_36,[[2;15;3;16];[4;11;5;12];[6;4;7;3];[8;17;9;18];[10;5;11;6];[12;10;13;9];[14;1;15;2];[16;7;17;8];[18;13;1;14]],9,37,9.884578653
9_37,[[1;10;2;11];[3;14;4;15];[5;1;6;18];[7;17;8;16];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[17;7;18;6]],9,45,10.98944959
9_38,[[2;14;3;13];[4;10;5;9];[6;16;7;15];[8;4;9;3];[10;18;11;17];[12;6;13;5];[14;2;15;1];[16;12;17;11];[18;8;1;7]],9,57,12.9328587
9_39,[[1;12;2;13];[3;17;4;16];[5;10;6;11];[7;18;8;1];[9;14;10;15];[11;2;12;3];[13;6;14;7];[15;5;16;4];[17;8;18;9]],9,55,12.81031
9_40,[[1;15;2;14];[3;12;4;13];[5;11;6;10];[7;3;8;2];[9;18;10;1];[11;17;12;16];[13;9;14;8];[15;6;16;7];[17;5;18;4]],9,75,15.01834286
9_41,[[1;15;2;14];[3;12;4;13];[5;16;6;17];[7;3;8;2];[9;18;10;1];[11;4;12;5];[13;9;14;8];[15;6;16;7];[17;10;18;11]],9,49,12.09893603
9_44,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[6;12;7;11];[8;1;9;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]],9,17,7.406767572
9_45,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[7;12;8;13];[8;1;9;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]],9,23,8.602031166
9_47,[[1;15;2;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[13;3;14;2];[16;11;17;12];[18;10;1;9]],9,27,10.04995786
9_48,[[1;10;2;11];[3;14;4;15];[6;17;7;18];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[16;7;17;8];[18;5;1;6]],9,27,9.531879836
