Name,PD Notation,Volume,Crossing Number,Determinant
9^2_40,[[0; 14; 1; 13]; [6; 2; 7; 1]; [2; 10; 3; 9]; [16; 4; 17; 3]; [4; 16; 5; 15]; [10; 6; 11; 5]; [12; 8; 13; 7]; [8; 12; 9; 17]; [14; 0; 15; 11]],12.0460920401,9,31
9^2_41,[[0; 11; 1; 12]; [6; 2; 7; 1]; [2; 14; 3; 13]; [14; 4; 15; 3]; [4; 10; 5; 17]; [10; 6; 11; 5]; [12; 7; 13; 8]; [8; 15; 9; 16]; [16; 9; 17; 0]],12.9574294296,9,31
9^2_42,[[0; 7; 1; 8]; [16; 2; 17; 1]; [2; 10; 3; 9]; [12; 3; 13; 4]; [4; 13; 5; 14]; [10; 6; 11; 5]; [6; 16; 7; 15]; [8; 17; 9; 12]; [14; 11; 15; 0]],13.9484177283,9,31
9^2_43,[[0; 8; 1; 7]; [8; 2; 9; 1]; [2; 10; 3; 9]; [10; 4; 11; 3]; [4; 12; 5; 11]; [5; 17; 6; 16]; [15; 7; 16; 6]; [12; 14; 13; 17]; [14; 0; 15; 13]],0,9,31
9^2_44,[[0; 7; 1; 8]; [8; 1; 9; 2]; [2; 9; 3; 10]; [10; 3; 11; 4]; [15; 5; 16; 4]; [5; 15; 6; 14]; [6; 11; 7; 12]; [12; 17; 13; 14]; [16; 13; 17; 0]],6.1381387891,9,31
9^2_45,[[15; 0; 16; 1]; [10; 2; 11; 1]; [2; 10; 3; 9]; [8; 4; 9; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [6; 17; 7; 14]; [16; 7; 17; 8]; [13; 14; 0; 15]],5.3334895669,9,31
9^2_46,[[15; 1; 16; 0]; [8; 1; 9; 2]; [2; 11; 3; 12]; [10; 3; 11; 4]; [4; 9; 5; 10]; [14; 5; 15; 6]; [6; 17; 7; 14]; [12; 7; 13; 8]; [13; 17; 0; 16]],6.1381387891,9,31
9^2_47,[[15; 0; 16; 1]; [1; 8; 2; 9]; [9; 2; 10; 3]; [14; 4; 15; 3]; [4; 14; 5; 17]; [5; 12; 6; 13]; [11; 6; 12; 7]; [7; 10; 8; 11]; [13; 16; 0; 17]],3.66386237671,9,31
9^2_48,[[0; 16; 1; 15]; [10; 2; 11; 1]; [2; 8; 3; 7]; [6; 4; 7; 3]; [4; 12; 5; 11]; [12; 6; 13; 5]; [17; 9; 14; 8]; [9; 17; 10; 16]; [14; 0; 15; 13]],7.70691180281,9,31
9^2_49,[[7; 1; 8; 0]; [1; 9; 2; 8]; [9; 3; 10; 2]; [3; 13; 4; 12]; [13; 5; 14; 4]; [5; 15; 6; 14]; [15; 7; 16; 6]; [10; 12; 11; 17]; [16; 0; 17; 11]],0,9,31
9^2_50,[[13; 1; 14; 0]; [1; 6; 2; 7]; [7; 2; 8; 3]; [14; 3; 15; 4]; [4; 15; 5; 16]; [5; 8; 6; 9]; [9; 17; 10; 16]; [17; 11; 12; 10]; [11; 13; 0; 12]],4.4153324775,9,31
9^2_51,[[13; 0; 14; 1]; [1; 14; 2; 15]; [15; 2; 16; 3]; [3; 9; 4; 8]; [9; 5; 10; 4]; [5; 11; 6; 10]; [6; 17; 7; 12]; [12; 7; 13; 8]; [11; 16; 0; 17]],5.9782405659,9,31
